event_ticker,market_ticker,checkpoint_offset_seconds,checkpoint_ts,model_probability,kalshi_yes_bid,kalshi_yes_ask,actual_result,kalshi_implied_vol,converted_dvol
KXBTCD-26SEP1101,KXBTCD-26SEP1101-T77199.99,600,1789102200,0.20797733148923997,0.05,0.06,no,732.6025625050148,0.3931
KXBTCD-26SEP1101,KXBTCD-26SEP1101-T77199.99,120,1789102680,0.04887276072382768,0.0,0.01,no,2640.6946287599585,0.3933
KXBTCD-26SEP1100,KXBTCD-26SEP1100-T77099.99,3600,1789095600,0.21292137896998548,0.08,0.09,no,256.6323235312363,0.3973
KXBTCD-26SEP1100,KXBTCD-26SEP1100-T77099.99,1800,1789097400,0.05377942405709224,0.05,0.06,no,422.68385856672063,0.3971
KXBTCD-26SEP1100,KXBTCD-26SEP1100-T77099.99,600,1789098600,0.006336191744335196,0.0,0.01,no,1180.683393537714,0.397
KXBTCD-26SEP1100,KXBTCD-26SEP1100-T77099.99,120,1789099080,1.9165413547683752e-05,0.0,0.01,no,2640.3138733648516,0.39630000000000004
KXBTCD-26SEP1023,KXBTCD-26SEP1023-T76899.99,3600,1789092000,0.5466728706725448,0.52,0.53,no,0.7135865485918474,0.39759999999999995
KXBTCD-26SEP1023,KXBTCD-26SEP1023-T76899.99,1800,1789093800,0.32289351757166684,0.23,0.24,no,191.00616718988496,0.3985
KXBTCD-26SEP1023,KXBTCD-26SEP1023-T76899.99,600,1789095000,0.5116411459477643,0.48,0.49,no,17.556345901056876,0.3978
KXBTCD-26SEP1023,KXBTCD-26SEP1023-T76899.99,120,1789095480,0.14707206388420851,0.02,0.03,no,2009.300103672687,0.39740000000000003
KXBTCD-26SEP1022,KXBTCD-26SEP1022-T76799.99,3600,1789088400,0.6366852383243244,0.67,0.68,yes,0.3088725975783379,0.39990000000000003
KXBTCD-26SEP1022,KXBTCD-26SEP1022-T76799.99,1800,1789090200,0.466797283851168,0.46,0.47,yes,22.876044736849543,0.40009999999999996
KXBTCD-26SEP1022,KXBTCD-26SEP1022-T76799.99,600,1789091400,0.7716410800660037,0.75,0.76,yes,0.42945706772748043,0.39840000000000003
KXBTCD-26SEP1022,KXBTCD-26SEP1022-T76799.99,120,1789091880,0.9950967671439039,0.99,1.0,yes,0.3986416916443022,0.39759999999999995
KXBTCD-26SEP1021,KXBTCD-26SEP1021-T76999.99,3600,1789084800,0.12789421031014409,0.1,0.11,no,234.29001635086402,0.4023
KXBTCD-26SEP1021,KXBTCD-26SEP1021-T76999.99,1800,1789086600,0.1512009989312001,0.16,0.17,no,257.44955746170945,0.4004
KXBTCD-26SEP1021,KXBTCD-26SEP1021-T76999.99,600,1789087800,0.08434758104046597,0.01,0.02,no,994.7742622743187,0.40090000000000003
KXBTCD-26SEP1021,KXBTCD-26SEP1021-T76999.99,120,1789088280,0.012269111610690053,0.0,0.01,no,2640.598172139084,0.40009999999999996
KXBTCD-26SEP1020,KXBTCD-26SEP1020-T76899.99,3600,1789081200,0.44328981023579456,0.39,0.4,no,49.63947359745704,0.3985
KXBTCD-26SEP1020,KXBTCD-26SEP1020-T76899.99,1800,1789083000,0.27608973056155783,0.17,0.18,no,247.15571336158982,0.40090000000000003
KXBTCD-26SEP1020,KXBTCD-26SEP1020-T76899.99,600,1789084200,0.08586319396230369,0.03,0.04,no,830.4937353097208,0.401
KXBTCD-26SEP1020,KXBTCD-26SEP1020-T76899.99,120,1789084680,1.3868037551656442e-08,0.0,0.01,no,2640.079585458438,0.4023
KXBTCD-26SEP1019,KXBTCD-26SEP1019-T76499.99,3600,1789077600,0.9658336264821294,0.99,1.0,yes,0.28018219717210524,0.3957
KXBTCD-26SEP1019,KXBTCD-26SEP1019-T76499.99,1800,1789079400,0.9922946124978393,0.99,1.0,yes,0.37359506019084526,0.3972
KXBTCD-26SEP1019,KXBTCD-26SEP1019-T76499.99,600,1789080600,0.9996118997797968,0.99,1.0,yes,0.5183345172648346,0.3973
KXBTCD-26SEP1019,KXBTCD-26SEP1019-T76499.99,120,1789081080,0.9999999980882803,0.99,1.0,yes,0.9107716683949715,0.3983
KXBTCD-26SEP1018,KXBTCD-26SEP1018-T76799.99,3600,1789074000,0.9302080467433873,0.99,1.0,yes,0.226995273817351,0.3954
KXBTCD-26SEP1018,KXBTCD-26SEP1018-T76799.99,1800,1789075800,0.9689794447685222,0.99,1.0,yes,0.2871275145767993,0.3962
KXBTCD-26SEP1018,KXBTCD-26SEP1018-T76799.99,600,1789077000,0.9968610872719319,0.99,1.0,yes,0.4201318010076815,0.396
KXBTCD-26SEP1018,KXBTCD-26SEP1018-T76799.99,120,1789077480,0.9999999865239695,0.99,1.0,yes,0.8543695083818321,0.39590000000000003
KXBTCD-26SEP1017,KXBTCD-26SEP1017-T77249.99,3600,1789070400,0.4160047780739252,0.31,0.32,no,90.00166015452106,0.3953
KXBTCD-26SEP1017,KXBTCD-26SEP1017-T77249.99,1800,1789072200,0.5339516353386373,0.53,0.54,no,0.3839122987937653,0.3954
KXBTCD-26SEP1017,KXBTCD-26SEP1017-T77249.99,600,1789073400,0.511655107191058,0.4,0.41,no,110.28946391852172,0.3956
KXBTCD-26SEP1017,KXBTCD-26SEP1017-T77249.99,120,1789073880,0.5796957364122661,0.75,0.78,no,0.11028935122766567,0.39549999999999996
KXBTCD-26SEP1016,KXBTCD-26SEP1016-T77299.99,3600,1789066800,0.3908054581183864,0.27,0.28,no,111.71187983256489,0.39630000000000004
